acteurs,date,description,duree,genre,imdb_url,img_url,pays,public,score,title,title_original
"Clark Gable,Vivien Leigh,Thomas Mitchell,Barbara O'Neil,Evelyn Keyes,Ann Rutherford,George Reeves,Fred Crane,Hattie McDaniel,Oscar Polk,Butterfly McQueen,Victor Jory,Everett Brown,Howard Hickman,Alicia Rhett,Leslie Howard,Olivia de Havilland,Rand Brooks",1939,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,238,"Drama,Romance,War",https://www.imdb.com/title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,5,190,281_.jpg",United States,Passed,8.2,Gone with the Wind,Gone with the Wind
"Kurt Russell,Wilford Brimley,Keith David,Richard Masur,T.K. Carter,David Clennon,Richard Dysart,Charles Hallahan,Peter Maloney,Donald Moffat,Joel Polis,Thomas G. Waites,Norbert Weisser,Larry Franco,Nate Irwin,William Zeman,Adrienne Barbeau,John Carpenter",1982,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,109,"Horror,Mystery,Sci-Fi",https://www.imdb.com/title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154,"https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",United States,R,8.2,The Thing,The Thing
"Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,Nicholas Colasanto,Theresa Saldana,Mario Gallo,Frank Adonis,Joseph Bono,Frank Topham,Lori Anne Flax,Charles Scorsese,Don Dunphy,Bill Hanrahan,Rita Bennett,James V. Christy,Bernie Allen,Floyd Anderson",1980,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",129,"Biography,Drama,Sport",https://www.imdb.com/title/tt0081398/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157,"https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg",United States,R,8.2,Raging Bull,Raging Bull
"Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,Kelly Macdonald,Garret Dillahunt,Tess Harper,Barry Corbin,Stephen Root,Rodger Boyce,Beth Grant,Ana Reeder,Kit Gwin,Zach Hopkins,Chip Love,Eduardo Antonio Garcia,Gene Jones,Myk Watford",2007,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,122,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",United States,R,8.2,No Country for Old Men,No Country for Old Men
"Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett,Allison Janney,Austin Pendleton,Stephen Root,Vicki Lewis,Joe Ranft,Geoffrey Rush,Andrew Stanton,Elizabeth Perkins,Nicholas Bird,Bob Peterson,Barry Humphries,Eric Bana,Bruce Spence",2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",100,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt0266543/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153,"https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,1,190,281_.jpg",United States,G,8.2,Finding Nemo,Finding Nemo
"Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Jon Favreau,Jamie Foxx,Willem Dafoe,Alfred Molina,Benedict Wong,Tony Revolori,Marisa Tomei,Andrew Garfield,Tobey Maguire,Angourie Rice,Arian Moayed,Paula Newsome,Hannibal Buress,Martin Starr",2021,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul...",148,"Action,Adventure,Fantasy",https://www.imdb.com/title/tt10872600/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147,"https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",United States,PG-13,8.3,Spider-Man: No Way Home,Spider-Man: No Way Home
"Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,James Donald,Donald Pleasence,James Coburn,Hannes Messemer,David McCallum,Gordon Jackson,John Leyton,Angus Lennie,Nigel Stock,Robert Graf,Jud Taylor,Hans Reiser,Harry Riebauer,William Russell",1963,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,172,"Adventure,Drama,History",https://www.imdb.com/title/tt0057115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149,"https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,8,190,281_.jpg",United States,Approved,8.2,The Great Escape,The Great Escape
"Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck,Martin Ferrero,BD Wong,Joseph Mazzello,Ariana Richards,Samuel L. Jackson,Wayne Knight,Gerald R. Molen,Miguel Sandoval,Cameron Thor,Christopher John Fields,Whit Hertford,Dean Cundey,Jophery C. Brown",1993,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din...,127,"Action,Adventure,Sci-Fi",https://www.imdb.com/title/tt0107290/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX190_CR0,2,190,281_.jpg",United States,PG-13,8.2,Jurassic Park,Jurassic Park
"Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,Lucy Liu,Vivica A. Fox,Julie Dreyfus,Chiaki Kuriyama,Shin'ichi Chiba,Chia-Hui Liu,Michael Parks,Michael Bowen,Jun Kunimura,Kenji Ôba,Yuki Kazamatsuri,James Parks,Sakichi Sato,Jonathan Loughran",2003,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",111,"Action,Crime,Drama",https://www.imdb.com/title/tt0266697/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151,"https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg",United States,R,8.2,Kill Bill: Vol. 1,Kill Bill: Vol. 1
"Graham Chapman,John Cleese,Eric Idle,Terry Gilliam,Terry Jones,Michael Palin,Connie Booth,Carol Cleveland,Neil Innes,Bee Duffell,John Young,Rita Davies,Avril Stewart,Sally Kinghorn,Mark Zycon,Elspeth Cameron,Mitsuko Forstater,Sandy Johnson",1975,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91,"Adventure,Comedy,Fantasy",https://www.imdb.com/title/tt0071853/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=41GVYNJ92J4WDEM7DBRC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_145,"https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg",United Kingdom,PG,8.2,Monty Python and the Holy Grail,Monty Python and the Holy Grail
